RUN	conduitApp.performance.PerformanceTest	performancetest	1616162080713	| Performance test suite.	3.0.2
USER	Performance simulation	60	START	1616162108272	1616162108272
REQUEST	60		Create article: Third title	1616162108290	1616162108611	OK	 
USER	Performance simulation	60	END	1616162108272	1616162108613
USER	Performance simulation	61	START	1616162109412	1616162109412
USER	Performance simulation	62	START	1616162109553	1616162109553
USER	Performance simulation	63	START	1616162109882	1616162109882
REQUEST	61		Create article: First title	1616162109430	1616162110075	OK	 
USER	Performance simulation	61	END	1616162109412	1616162110076
REQUEST	62		Create article: Second title	1616162109565	1616162110131	OK	 
USER	Performance simulation	62	END	1616162109553	1616162110131
USER	Performance simulation	64	START	1616162110132	1616162110132
USER	Performance simulation	65	START	1616162110381	1616162110381
REQUEST	63		Create article: Third title	1616162109895	1616162110499	OK	 
USER	Performance simulation	63	END	1616162109882	1616162110499
USER	Performance simulation	66	START	1616162110633	1616162110633
REQUEST	64		Create article: First title	1616162110144	1616162110703	OK	 
USER	Performance simulation	64	END	1616162110132	1616162110704
USER	Performance simulation	67	START	1616162110882	1616162110882
REQUEST	65		Create article: Second title	1616162110394	1616162110998	OK	 
USER	Performance simulation	65	END	1616162110381	1616162110998
USER	Performance simulation	68	START	1616162111082	1616162111082
REQUEST	66		Create article: Third title	1616162110644	1616162111190	OK	 
USER	Performance simulation	66	END	1616162110633	1616162111191
USER	Performance simulation	69	START	1616162111282	1616162111282
REQUEST	67		Create article: First title	1616162110897	1616162111474	OK	 
USER	Performance simulation	67	END	1616162110882	1616162111474
USER	Performance simulation	70	START	1616162111482	1616162111482
USER	Performance simulation	71	START	1616162111682	1616162111682
REQUEST	68		Create article: Second title	1616162111092	1616162111699	OK	 
USER	Performance simulation	68	END	1616162111082	1616162111700
REQUEST	69		Create article: Third title	1616162111290	1616162111851	OK	 
USER	Performance simulation	69	END	1616162111282	1616162111852
USER	Performance simulation	72	START	1616162111882	1616162111882
REQUEST	70		Create article: First title	1616162111491	1616162112053	OK	 
USER	Performance simulation	70	END	1616162111482	1616162112053
USER	Performance simulation	73	START	1616162112082	1616162112082
USER	Performance simulation	74	START	1616162112281	1616162112281
REQUEST	71		Create article: Second title	1616162111694	1616162112332	OK	 
USER	Performance simulation	71	END	1616162111682	1616162112333
USER	Performance simulation	75	START	1616162112481	1616162112481
REQUEST	72		Create article: Third title	1616162111893	1616162112555	OK	 
USER	Performance simulation	72	END	1616162111882	1616162112555
USER	Performance simulation	76	START	1616162112682	1616162112682
REQUEST	73		Create article: First title	1616162112093	1616162112712	OK	 
USER	Performance simulation	73	END	1616162112082	1616162112713
USER	Performance simulation	77	START	1616162112881	1616162112881
REQUEST	74		Create article: Second title	1616162112289	1616162112936	OK	 
USER	Performance simulation	74	END	1616162112281	1616162112937
USER	Performance simulation	78	START	1616162113052	1616162113052
REQUEST	75		Create article: Third title	1616162112490	1616162113117	OK	 
USER	Performance simulation	75	END	1616162112481	1616162113117
USER	Performance simulation	79	START	1616162113212	1616162113212
REQUEST	76		Create article: First title	1616162112695	1616162113288	OK	 
USER	Performance simulation	76	END	1616162112682	1616162113289
USER	Performance simulation	80	START	1616162113382	1616162113382
REQUEST	77		Create article: Second title	1616162112892	1616162113493	OK	 
USER	Performance simulation	77	END	1616162112881	1616162113494
USER	Performance simulation	81	START	1616162113552	1616162113552
